prop ,support_ontology ,support_concept_scheme ,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type ,1961,587,
http://www.w3.org/ns/prov#hadPrimarySource ,1961,587,Note: this one is added in every resource to keep the source (discard this property)
http://www.w3.org/2002/07/owl#versionInfo ,1116,16,
http://www.w3.org/2000/01/rdf-schema#comment ,908,173,
http://www.w3.org/2002/07/owl#imports ,831,16,
http://www.w3.org/2000/01/rdf-schema#label ,726,444,
http://www.w3.org/2002/07/owl#versionIRI ,716,16,
http://purl.org/dc/terms/license ,656,16,
http://purl.org/dc/terms/title ,655,80,
http://purl.org/dc/terms/creator ,599,69,
http://purl.org/vocab/vann/preferredNamespacePrefix ,595,10,
http://purl.org/vocab/vann/preferredNamespaceUri ,580,10,
http://purl.org/dc/terms/modified ,574,29,
http://purl.org/dc/terms/description ,537,76,
http://purl.org/dc/elements/1.1/title ,464,18,
http://purl.org/dc/elements/1.1/creator ,462,11,
http://purl.org/dc/terms/issued ,413,10,
http://purl.org/dc/elements/1.1/description ,386,11,
http://purl.org/dc/terms/created ,327,29,
http://purl.org/dc/terms/contributor ,312,18,
http://purl.org/dc/terms/publisher ,254,44,
http://purl.org/dc/terms/rights ,239,32,
http://www.w3.org/2000/01/rdf-schema#seeAlso ,233,140,
http://creativecommons.org/ns#license ,214,4,
http://www.w3.org/2002/07/owl#priorVersion ,198,4,
http://purl.org/dc/elements/1.1/contributor ,196,1,
http://purl.org/dc/elements/1.1/rights ,167,0,
http://purl.org/dc/elements/1.1/date ,136,4,
http://purl.org/dc/terms/abstract ,125,1,
http://purl.org/dc/elements/1.1/publisher ,117,4,
http://purl.org/dc/terms/source ,93,5,
http://www.w3.org/2004/02/skos/core#changeNote ,89,13,
http://www.w3.org/2000/01/rdf-schema#isDefinedBy ,88,81,
http://www.omg.org/techprocess/ab/SpecificationMetadata/copyright ,70,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/filename ,70,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/fileAbbreviation ,69,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/contentLanguage ,68,0,
http://www.geneontology.org/formats/oboInOwl#default-namespace ,66,0,
http://xmlns.com/foaf/0.1/homepage ,66,13,
http://xmlns.com/foaf/0.1/maker ,64,3,
http://www.omg.org/techprocess/ab/SpecificationMetadata/dependsOn ,61,0,
http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion ,56,0,
https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/hasMaturityLevel ,56,0,
http://purl.org/dc/elements/1.1/format ,55,0,
http://purl.org/dc/terms/identifier ,51,8,
http://purl.org/dc/elements/1.1/identifier ,48,0,
http://www.geneontology.org/formats/oboInOwl#saved-by ,44,0,
http://www.geneontology.org/formats/oboInOwl#date ,43,0,
http://www.w3.org/2007/05/powder-s#describedby ,42,0,
http://purl.org/dc/elements/1.1/issued ,41,0,
http://purl.org/dc/elements/1.1/modified ,37,0,
http://purl.org/dc/terms/date ,37,0,
http://purl.org/dc/terms/type ,36,0,
http://purl.org/dc/elements/1.1/source ,36,1,
