 "prop" , "support" ,
 "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "2528" ,
 "http://www.w3.org/ns/prov#hadPrimarySource" , "2528" ,
 "http://www.w3.org/2000/01/rdf-schema#label" , "1155" ,
 "http://www.w3.org/2002/07/owl#versionInfo" , "1119" ,
 "http://www.w3.org/2000/01/rdf-schema#comment" , "1069" ,
 "http://www.w3.org/2002/07/owl#imports" , "833" ,
 "http://purl.org/dc/terms/title" , "728" ,
 "http://www.w3.org/2002/07/owl#versionIRI" , "716" ,
 "http://purl.org/dc/terms/license" , "663" ,
 "http://purl.org/dc/terms/creator" , "661" ,
 "http://purl.org/dc/terms/description" , "610" ,
 "http://purl.org/vocab/vann/preferredNamespacePrefix" , "599" ,
 "http://purl.org/dc/terms/modified" , "594" ,
 "http://purl.org/vocab/vann/preferredNamespaceUri" , "584" ,
 "http://purl.org/dc/elements/1.1/title" , "475" ,
 "http://purl.org/dc/elements/1.1/creator" , "471" ,
 "http://purl.org/dc/terms/issued" , "418" ,
 "http://purl.org/dc/elements/1.1/description" , "390" ,
 "http://www.w3.org/2000/01/rdf-schema#seeAlso" , "368" ,
 "http://purl.org/dc/terms/created" , "348" ,
 "http://purl.org/dc/terms/contributor" , "326" ,
 "http://purl.org/dc/terms/publisher" , "290" ,
 "http://www.w3.org/2004/02/skos/core#prefLabel" , "270" ,
 "http://purl.org/dc/terms/rights" , "264" ,
 "http://creativecommons.org/ns#license" , "214" ,
 "http://www.w3.org/2002/07/owl#priorVersion" , "198" ,
 "http://purl.org/dc/elements/1.1/contributor" , "196" ,
 "http://www.w3.org/2004/02/skos/core#definition" , "176" ,
 "http://www.w3.org/2000/01/rdf-schema#isDefinedBy" , "169" ,
 "http://purl.org/dc/elements/1.1/rights" , "167" ,
 "http://purl.org/dc/elements/1.1/date" , "140" ,
 "http://www.w3.org/2004/02/skos/core#note" , "138" ,
 "http://www.w3.org/2004/02/skos/core#hasTopConcept" , "130" ,
 "http://purl.org/dc/terms/abstract" , "126" ,
 "http://purl.org/dc/elements/1.1/publisher" , "120" ,
 "http://www.w3.org/2004/02/skos/core#changeNote" , "99" ,
 "http://purl.org/dc/terms/source" , "96" ,
 "http://xmlns.com/foaf/0.1/homepage" , "78" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/copyright" , "70" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/filename" , "70" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/fileAbbreviation" , "69" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/contentLanguage" , "68" ,
 "http://xmlns.com/foaf/0.1/maker" , "67" ,
 "http://www.geneontology.org/formats/oboInOwl#default-namespace" , "66" ,
 "http://www.omg.org/techprocess/ab/SpecificationMetadata/dependsOn" , "61" ,
 "http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion" , "56" ,
 "https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/AnnotationVocabulary/hasMaturityLevel" , "56" ,
 "http://purl.org/dc/elements/1.1/format" , "55" ,
 "http://purl.org/dc/terms/identifier" , "51" ,
 "http://purl.org/dc/elements/1.1/identifier" , "48" ,
 "http://purl.org/pav/createdOn" , "45" ,
 "http://purl.org/pav/version" , "45" ,
 "http://purl.org/dc/terms/hasVersion" , "44" ,
 "http://www.geneontology.org/formats/oboInOwl#saved-by" , "44" ,
 "http://purl.org/pav/lastUpdatedOn" , "43" ,
 "http://www.geneontology.org/formats/oboInOwl#date" , "43" ,
 "http://www.w3.org/2007/05/powder-s#describedby" , "42" ,
 "http://purl.org/dc/elements/1.1/issued" , "41" ,
 "http://purl.org/dc/elements/1.1/modified" , "37" ,
 "http://purl.org/dc/terms/date" , "37" ,
 "http://purl.org/dc/elements/1.1/source" , "36" ,
 "http://purl.org/dc/terms/type" , "36" ,
 "http://w3id.org/charta77/jup/seeAlso" , "36" ,
 "http://open.vocab.org/terms/defines" , "33" ,
 "http://purl.org/dc/elements/1.1/subject" , "33" ,
 "http://schema.org/creator" , "33" ,
 "http://www.geneontology.org/formats/oboInOwl#auto-generated-by" , "33" ,
 "http://purl.org/dc/elements/1.1/license" , "32" ,
 "http://schema.org/about" , "31" ,
 "http://purl.org/dc/terms/status" , "29" ,
 "http://purl.org/ontology/bibo/status" , "29" ,
 "http://purl.org/dc/elements/1.1/language" , "28" ,
 "http://purl.org/dc/terms/rightsHolder" , "28" ,
 "http://rdfs.org/ns/void#feature" , "28" ,
 "http://www.w3.org/2003/06/sw-vocab-status/ns#term_status" , "27" ,
 "http://purl.org/dc/terms/subject" , "26" ,
 "http://credreg.net/meta/terms/changeHistory" , "25" ,
 "http://credreg.net/meta/terms/hasConcept" , "25" ,
 "http://rdfs.org/ns/void#inDataset" , "25" ,
 "https://www.w3.org/2003/06/sw-vocab-status/ns#term_status" , "25" ,
 "http://protege.stanford.edu/plugins/owl/protege#defaultLanguage" , "22" ,
 "http://purl.org/dc/terms/partOf" , "22" ,
 "http://purl.obolibrary.org/obo/IAO_0000700" , "21" ,
 "http://www.w3.org/2004/02/skos/core#historyNote" , "20" ,
 "http://purl.org/dc/terms/hasFormat" , "19" ,
 "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "19" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#coversRequirements" , "18" ,
 "http://creativecommons.org/ns#attributionURL" , "17" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasConsequences" , "17" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasIntent" , "17" ,
 "http://purl.org/dc/terms/language" , "16" ,
 "http://purl.org/dc/terms/bibliographicCitation" , "15" ,
 "http://purl.org/dc/terms/hasPart" , "15" ,
 "http://rdfs.org/ns/void#vocabulary" , "15" ,
 "http://www.linkedmodel.org/schema/vaem#hasGraphMetadata" , "15" ,
 "http://creativecommons.org/ns#attributionName" , "14" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#relatedCPs" , "14" ,
 "http://xmlns.com/foaf/0.1/primaryTopic" , "14" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#extractedFrom" , "13" ,
 "http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#scenarios" , "13" ,
 "http://www.w3.org/2002/07/owl#sameAs" , "13" ,
 "http://www.geneontology.org/formats/oboInOwl#NamespaceIdRule" , "12" ,
 "http://www.w3.org/2002/07/owl#backwardCompatibleWith" , "12" ,
 "http://xmlns.com/foaf/0.1/depiction" , "12" ,
 "http://xmlns.com/foaf/spec/name" , "12" ,
