voc ,dist ,date 
https://w3id.org/seas/QUDTAlignment ,https://lov.linkeddata.es/dataset/lov/vocabs/seas-qudt/versions/2016-09-19.n3 ,2016-09-19
http://openprovenance.org/model/opmo ,https://lov.linkeddata.es/dataset/lov/vocabs/opmo/versions/2010-10-13.n3 ,2010-10-13
http://cookingbigdata.com/linkeddata/ccregions ,https://lov.linkeddata.es/dataset/lov/vocabs/ccr/versions/2018-05-23.n3 ,2018-05-23
http://www.w3.org/ns/ma-ont ,https://lov.linkeddata.es/dataset/lov/vocabs/ma-ont/versions/2013-03-20.n3 ,2013-03-20
http://www.w3.org/ns/hydra/core ,https://lov.linkeddata.es/dataset/lov/vocabs/hydra/versions/2014-05-16.n3 ,2014-05-16
http://www.w3.org/ns/hydra/core ,https://lov.linkeddata.es/dataset/lov/vocabs/hydra/versions/2014-06-20.n3 ,2014-06-20
http://www.w3.org/ns/hydra/core ,https://lov.linkeddata.es/dataset/lov/vocabs/hydra/versions/2015-01-11.n3 ,2015-01-11
http://purl.org/vsearch/ ,https://lov.linkeddata.es/dataset/lov/vocabs/vsearch/versions/2016-01-16.n3 ,2016-01-16
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/hw/versions/2014-05-12.n3 ,2014-05-12
http://www.loc.gov/mads/rdf/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/mads/versions/2015-10-28.n3 ,2015-10-28
http://www.linkedmodel.org/schema/vaem ,https://lov.linkeddata.es/dataset/lov/vocabs/vaem/versions/2014-06-28.n3 ,2014-06-28
http://www.w3.org/2006/time-entry ,https://lov.linkeddata.es/dataset/lov/vocabs/te/versions/2012-08-31.n3 ,2012-08-31
http://www.w3.org/2006/gen/ont ,https://lov.linkeddata.es/dataset/lov/vocabs/gso/versions/2009-04-20.n3 ,2009-04-20
http://lsdis.cs.uga.edu/projects/semdis/opus# ,https://lov.linkeddata.es/dataset/lov/vocabs/opus/versions/2007-05-01.n3 ,2007-05-01
https://w3id.org/dio ,https://lov.linkeddata.es/dataset/lov/vocabs/dio/versions/2016-01-04.n3 ,2016-01-04
http://purl.org/ontology/bibo/ ,https://lov.linkeddata.es/dataset/lov/vocabs/bibo/versions/2008-06-03.n3 ,2008-06-03
http://purl.org/ontology/bibo/ ,https://lov.linkeddata.es/dataset/lov/vocabs/bibo/versions/2008-11-29.n3 ,2008-11-29
http://purl.org/ontology/bibo/ ,https://lov.linkeddata.es/dataset/lov/vocabs/bibo/versions/2009-11-04.n3 ,2009-11-04
http://bag.basisregistraties.overheid.nl/def/bag ,https://lov.linkeddata.es/dataset/lov/vocabs/bag/versions/2014-09-19.n3 ,2014-09-19
http://purl.org/spar/pro ,https://lov.linkeddata.es/dataset/lov/vocabs/pro/versions/2013-05-15.n3 ,2013-05-15
http://purl.org/spar/pro ,https://lov.linkeddata.es/dataset/lov/vocabs/pro/versions/2011-05-05.n3 ,2011-05-05
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-07-09.n3 ,2014-07-09
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-07-03.n3 ,2014-07-03
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-06-15.n3 ,2014-06-15
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2015-01-11.n3 ,2015-01-11
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-03-19.n3 ,2014-03-19
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-07-26.n3 ,2014-07-26
http://elite.polito.it/ontologies/dogont.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2014-07-25.n3 ,2014-07-25
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2012-07-19.n3 ,2012-07-19
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2015-01-11.n3 ,2015-01-11
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2009-11-13.n3 ,2009-11-13
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2010-03-18.n3 ,2010-03-18
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2014-06-14.n3 ,2014-06-14
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2010-03-08.n3 ,2010-03-08
http://www.lexinfo.net/ontology/2.0/lexinfo ,https://lov.linkeddata.es/dataset/lov/vocabs/lexinfo/versions/2016-07-13.n3 ,2016-07-13
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2013-11-28.n3 ,2013-11-28
http://geovocab.org/geometry ,https://lov.linkeddata.es/dataset/lov/vocabs/ngeo/versions/2012-02-05.n3 ,2012-02-05
http://www.opengis.net/ont/gml ,https://lov.linkeddata.es/dataset/lov/vocabs/gml/versions/2012-09-11.n3 ,2012-09-11
http://www.w3.org/2008/05/skos-xl ,https://lov.linkeddata.es/dataset/lov/vocabs/skosxl/versions/2009-08-18.n3 ,2009-08-18
http://linkedgeodata.org/ontology ,https://lov.linkeddata.es/dataset/lov/vocabs/lgdo/versions/2014-06-20.n3 ,2014-06-20
http://rdf.muninn-project.org/ontologies/military ,https://lov.linkeddata.es/dataset/lov/vocabs/mil/versions/2015-07-05.n3 ,2015-07-05
http://rdf.muninn-project.org/ontologies/military ,https://lov.linkeddata.es/dataset/lov/vocabs/mil/versions/2012-05-29.n3 ,2012-05-29
http://rdf.muninn-project.org/ontologies/military ,https://lov.linkeddata.es/dataset/lov/vocabs/mil/versions/2012-06-20.n3 ,2012-06-20
http://rdf.muninn-project.org/ontologies/military ,https://lov.linkeddata.es/dataset/lov/vocabs/mil/versions/2014-10-31.n3 ,2014-10-31
http://rdf.muninn-project.org/ontologies/military ,https://lov.linkeddata.es/dataset/lov/vocabs/mil/versions/2014-10-12.n3 ,2014-10-12
http://www.w3.org/2004/03/trix/swp-1 ,https://lov.linkeddata.es/dataset/lov/vocabs/swp/versions/2004-03-01.n3 ,2004-03-01
http://data.ordnancesurvey.co.uk/ontology/50kGazetteer/ ,https://lov.linkeddata.es/dataset/lov/vocabs/g50k/versions/2013-06-03.n3 ,2013-06-03
http://sensormeasurement.appspot.com/ont/home/homeActivity# ,https://lov.linkeddata.es/dataset/lov/vocabs/ha/versions/2014-05-12.n3 ,2014-05-12
http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/iol/versions/2010-02-09.n3 ,2010-02-09
http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/iol/versions/2009-06-05.n3 ,2009-06-05
http://securitytoolbox.appspot.com/securityAlgorithms# ,https://lov.linkeddata.es/dataset/lov/vocabs/algo/versions/2014-01-24.n3 ,2014-01-24
