prefix,uri
madsrdf,http://www.loc.gov/mads/rdf/v1#
bflc,http://id.loc.gov/ontologies/bflc/
foaf,http://xmlns.com/foaf/0.1/
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
yago,http://yago-knowledge.org/resource/
dbo,http://dbpedia.org/ontology/
dbp,http://dbpedia.org/property/
dc,http://purl.org/dc/elements/1.1/
ex,http://example.org/
owl,http://www.w3.org/2002/07/owl#
gr,http://purl.org/goodrelations/v1#
skos,http://www.w3.org/2004/02/skos/core#
spacerel,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/
geo,http://www.opengis.net/ont/geosparql#
xsd,http://www.w3.org/2001/XMLSchema#
dcat,http://www.w3.org/ns/dcat#
schema,http://schema.org/
org,http://www.w3.org/ns/org#
dct,http://purl.org/dc/terms/
qb,http://purl.org/linked-data/cube#
dcterms,http://purl.org/dc/terms/
bf,http://id.loc.gov/ontologies/bibframe/
prov,http://www.w3.org/ns/prov#
search,http://sindice.com/vocab/search#
sioc,http://rdfs.org/sioc/ns#
sd,http://www.w3.org/ns/sparql-service-description#
xtypes,http://purl.org/xtypes/
dbpedia,http://dbpedia.org/resource/
ont,http://purl.org/net/ns/ontology-annot#
frbr,http://purl.org/vocab/frbr/core#
void,http://rdfs.org/ns/void#
stat,http://www.w3.org/ns/posix/stat#
onto,http://www.ontotext.com/
vcard,http://www.w3.org/2006/vcard/ns#
commerce,http://search.yahoo.com/searchmonkey/commerce/
sio,http://semanticscience.org/resource/
rss,http://purl.org/rss/1.0/
bibo,http://purl.org/ontology/bibo/
dbr,http://dbpedia.org/resource/
gldp,http://www.w3.org/ns/people#
geonames,http://www.geonames.org/ontology#
obo,http://purl.obolibrary.org/obo/
event,http://purl.org/NET/c4dm/event.owl#
pto,http://www.productontology.org/id/
fb,http://rdf.freebase.com/ns/
wd,http://www.wikidata.org/entity/
dcterm,http://purl.org/dc/terms/
dcmit,http://purl.org/dc/dcmitype/
oo,http://purl.org/openorg/
cc,http://creativecommons.org/ns#
gen,http://purl.org/gen/0.1#
content,http://purl.org/rss/1.0/modules/content/
doap,http://usefulinc.com/ns/doap#
md,http://www.w3.org/ns/md#
rr,http://www.w3.org/ns/r2rml#
dbpprop,http://dbpedia.org/property/
http,http://www.w3.org/2011/http#
sc,http://purl.org/science/owl/sciencecommons/
vann,http://purl.org/vocab/vann/
swrc,http://swrc.ontoware.org/ontology#
nie,http://www.semanticdesktop.org/ontologies/2007/01/19/nie#
prog,http://purl.org/prog/
ma,http://www.w3.org/ns/ma-ont#
wot,http://xmlns.com/wot/0.1/
akt,http://www.aktors.org/ontology/portal#
fn,http://www.w3.org/2005/xpath-functions#
tl,http://purl.org/NET/c4dm/timeline.owl#
ov,http://open.vocab.org/terms/
cv,http://rdfs.org/resume-rdf/
aiiso,http://purl.org/vocab/aiiso/schema#
swc,http://data.semanticweb.org/ns/swc/ontology#
crm,http://www.cidoc-crm.org/cidoc-crm/
vs,http://www.w3.org/2003/06/sw-vocab-status/ns#
ical,http://www.w3.org/2002/12/cal/ical#
marcrel,http://id.loc.gov/vocabulary/relators/
xhtml,http://www.w3.org/1999/xhtml#
earl,http://www.w3.org/ns/earl#
daia,http://purl.org/ontology/daia/
rel,http://purl.org/vocab/relationship/
bio,http://purl.org/vocab/bio/0.1/
mo,http://purl.org/ontology/mo/
prop,http://dbpedia.org/property/
rdfg,http://www.w3.org/2004/03/trix/rdfg-1/
dbowl,http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#
ad,http://schemas.talis.com/2005/address/schema#
cs,http://purl.org/vocab/changeset/schema#
dc11,http://purl.org/dc/elements/1.1/
dv,http://rdf.data-vocabulary.org/#
bill,http://www.rdfabout.com/rdf/schema/usbill/
factbook,http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#
air,http://dig.csail.mit.edu/TAMI/2007/amord/air#
co,http://purl.org/ontology/co/core#
test2,http://this.invalid/test2#
xhv,http://www.w3.org/1999/xhtml/vocab#
xmp,http://ns.adobe.com/xap/1.0/
og,http://opengraphprotocol.org/schema/
dcam,http://purl.org/dc/dcam/
musim,http://purl.org/ontology/similarity/
afn,http://jena.hpl.hp.com/ARQ/function#
xs,http://www.w3.org/2001/XMLSchema#
log,http://www.w3.org/2000/10/swap/log#
media,http://search.yahoo.com/searchmonkey/media/
ir,http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#
book,http://purl.org/NET/book/vocab#
mu,http://mu.semte.ch/vocabularies/core/
d2rq,http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
admin,http://webns.net/mvcb/
biblio,http://purl.org/net/biblio#
xfn,http://gmpg.org/xfn/11#
unit,http://qudt.org/vocab/unit/
ctag,http://commontag.org/ns#
botany,http://purl.org/NET/biol/botany#
xf,http://www.w3.org/2002/xforms/
sism,http://purl.oclc.org/NET/sism/0.1/
dcq,http://purl.org/dc/qualifiers/1.0/
cld,http://purl.org/cld/terms/
days,http://ontologi.es/days#
tag,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
reco,http://purl.org/reco#
cal,http://www.w3.org/2002/12/cal/ical#
dir,http://schemas.talis.com/2005/dir/schema#
pc,http://purl.org/procurement/public-contracts#
tzont,http://www.w3.org/2006/timezone#
time,http://www.w3.org/2006/time#
rif,http://www.w3.org/2007/rif#
osag,http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#
ome,http://purl.org/ontomedia/core/expression#
af,http://purl.org/ontology/af/
myspace,http://purl.org/ontology/myspace#
rev,http://purl.org/stuff/rev#
sr,http://www.openrdf.org/config/repository/sail#
cmp,http://www.ontologydesignpatterns.org/cp/owl/componency.owl#
qudt,http://qudt.org/schema/qudt/
memo,http://ontologies.smile.deri.ie/2009/02/27/memo#
sdmx,http://purl.org/linked-data/sdmx#
giving,http://ontologi.es/giving#
math,http://www.w3.org/2000/10/swap/math#
dcn,http://www.w3.org/2007/uwa/context/deliverycontext.owl#
ok,http://okkam.org/terms#
jdbc,http://d2rq.org/terms/jdbc/
swanq,http://purl.org/swan/1.2/qualifiers/
swande,http://purl.org/swan/1.2/discourse-elements/
as,https://www.w3.org/ns/activitystreams#
con,http://www.w3.org/2000/10/swap/pim/contact#
owlim,http://www.ontotext.com/trree/owlim#
cyc,http://sw.opencyc.org/concept/
lomvoc,http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#
cfp,http://sw.deri.org/2005/08/conf/cfp.owl#
gn,http://www.geonames.org/ontology#
oa,http://www.w3.org/ns/oa#
omn,http://open-multinet.info/ontology/omn#
sdmxdim,http://purl.org/linked-data/sdmx/2009/dimension#
cdm,http://publications.europa.eu/ontology/cdm#
lyou,http://purl.org/linkingyou/
skosxl,http://www.w3.org/2008/05/skos-xl#
photoshop,http://ns.adobe.com/photoshop/1.0/
wfs,http://schemas.opengis.net/wfs/
om,http://opendata.caceres.es/def/ontomunicipio#
adms,http://www.w3.org/ns/adms#
exif,http://www.w3.org/2003/12/exif/ns#
type,https://webiomed.ai/blog/obzor-rossiiskikh-sistem-podderzhki-priniatiia-vrachebnykh-reshenii/
ontology,http://dbpedia.org/ontology/
sdmxa,http://purl.org/linked-data/sdmx/2009/attribute#
openlinks,http://www.openlinksw.com/schemas/virtrdf#
xsi,http://www.w3.org/2001/XMLSchema-instance#
db,http://dbpedia.org/
lemon,http://lemon-model.net/lemon#
leaks,https://cuzin.com/
isbd,http://iflastandards.info/ns/isbd/elements/
nif,http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#
