vocabURI,source
https://w3id.org/def/game-of-thrones-ontology,jmuletpol/game-of-thrones-ontology
https://w3id.org/def/iebrain,ahmad88me/IEBrain
https://w3id.org/def/iebrainactor,ahmad88me/IEBrain
https://w3id.org/def/saref4envi,mariapoveda/saref-ext
https://w3id.org/def/saref4bldg,mariapoveda/saref-ext
https://w3id.org/def/saref4city,mariapoveda/saref-ext
https://w3id.org/def/saref4agri,mariapoveda/saref-ext
https://w3id.org/def/saref4inma,mariapoveda/saref-ext
https://w3id.org/def/easytv,oeg-upm/easytv-onto
https://w3id.org/def/DRUGS4COVID19,mariapoveda/DRUGS4COVID19
https://w3id.org/def/vtc,albaizq/test-verification-ontology
https://w3id.org/def/smartlampost,albaizq/smartlamppost
https://w3id.org/def/ontoreq,albaizq/ontoreq-ontology
https://w3id.org/def/themisEval,albaizq/ThemisEvaluation
https://w3id.org/def/openadr,albaizq/OpenADRontology
https://w3id.org/def/university,albaizq/FDLTutorialPublishedOntology
https://w3id.org/def/universityFDL,albaizq/FDLTutorialOntology
https://w3id.org/def/astrea,albaizq/astrea-ontology
https://w3id.org/def/AristotleCategories,vroddon/AristotleCategories
https://w3id.org/def/MappingpediaVocabulary,nelsonsaturno/mappingpedia-vocabulary
https://w3id.org/def/callejero,opencitydata/urbanismo-infraestructuras-callejero
https://w3id.org/def/city4age,dbujan/c4a_ontology
https://w3id.org/def/dul-espannol,marianofl1971/dul-espannol
https://w3id.org/def/dul-dolce-zero-espannol,marianofl1971/dul-espannol
https://w3id.org/def/dul-dolce-zero-en-espannol,marianofl1971/dul-espannol
https://w3id.org/def/otn,marianofl1971/otn
https://w3id.org/def/lis,marianofl1971/lis
https://w3id.org/def/coteam,fhidalgl/coteam
https://w3id.org/def/a-proc,fhidalgl/a-proc
https://w3id.org/def/ttp,fpriyatna/ttp-ontology
https://w3id.org/def/ontoma,mpuebla/OntoMarianao
https://w3id.org/def/HXA,kevin801006/HXAOntology
https://w3id.org/def/Component,kevin801006/CH
https://w3id.org/def/buildingOSMonto,sky8109242004/buildingOSMonto
https://w3id.org/def/ontology-08,LaiKash/Ontology
https://w3id.org/def/grupo17-ontology,juanjoLdlF/ontologyGroup17
https://w3id.org/def/sio,micheldumontier/semanticscience
https://w3id.org/def/Affective_States_Appraisal_Model_Module HASIO ,rana-othman/HASIO-Modularization
https://w3id.org/def/ontolo,alizetg/copiaOntologyMaster
https://w3id.org/def/GoodRelations,Logunov/OWL-Ontologies
https://w3id.org/def/ekaw2018mclement,NexusFr/ekaw2018
https://w3id.org/def/prekaw18,PhilippeRoussilleIRIT/ekaw2018
https://w3id.org/def/usability,Renerick/UsabilityOntology
https://w3id.org/def/S4WATR,oeg-upm/S4WATR
https://w3id.org/def/respond,RESPOND-PROJECT/RESPOND-Ontology
https://w3id.org/def/caso,irstea/caso
https://w3id.org/def/irsteairrig,Irstea/irrig
https://w3id.org/def/nanopubx,peta-pico/ontologies
https://w3id.org/def/hycl,peta-pico/ontologies
https://w3id.org/def/paperclub,peta-pico/ontologies
https://w3id.org/def/lpappsontology,aorumbayev/linkedpipes_applications_ontology
